country_long,,estimated_generation_gwh
India,11733,7623.300970947907
Indonesia,11869,21967.67667814407
Indonesia,11881,13947.731224218456
Indonesia,11830,6938.1087431693995
Indonesia,11887,5431.410629666246
Indonesia,11886,5415.001534108343
Indonesia,11837,5184.907103825137
Indonesia,11765,5168.865100739781
Indonesia,11839,4543.3846994535525
Indonesia,11857,4307.387583949818
Indonesia,11858,4061.2511505812568
Iran,11943,14429.692392705838
Iran,11999,10513.061600399971
Iran,11929,10009.6528035648
Iran,11966,9853.41851959056
Iran,11981,9360.577051615295
Iran,11997,8415.893056071296
Iran,12006,7235.460042628213
Iran,11965,7070.54927242586
Iran,12003,6837.913108057928
Iran,11937,6732.714444857036
Iraq,12036,17371.241721854305
Iraq,12032,10588.185430463576
Iraq,12030,6617.615894039735
Iraq,12037,5955.854304635762
Iraq,12042,5294.092715231788
Iraq,12035,4136.009933774835
Iraq,12029,2559.2391427314433
Iraq,12044,2337.0624096536985
Iraq,12053,1947.5520080447488
Iraq,12043,1558.041606435799
Ireland,12098,6484.0
Ireland,12056,1846.6058226134055
Ireland,12101,1678.732566012187
Ireland,12114,1556.3249830737982
Ireland,12057,1521.3513879485442
Ireland,12077,1451.4041976980366
Ireland,12085,1412.9332430602572
Ireland,12112,1358.7241706161135
Ireland,12084,1199.5943127962084
Ireland,12111,712.3358024691357
Israel,12139,16126.495867768595
Israel,12144,14009.504132231405
Israel,12125,4578.576359492023
Israel,12128,4012.6489742754798
Israel,12140,3411.550960599153
Israel,12122,2685.757082383588
Israel,12151,2669.7704330836864
Israel,12127,2378.813415825464
Israel,12130,2302.077499185933
Israel,12143,1368.457180071638
Italy,12265,15178.0
Italy,12186,13628.868175765645
Italy,12378,10221.651131824236
Italy,12264,8365.767805313108
Italy,12255,6711.185086551264
Italy,12171,5038.551264980027
Italy,12223,4790.161519047114
Italy,12310,4524.541660378148
Italy,12327,4502.031502863829
Italy,12217,4276.929927720637
Jamaica,12405,2158.6769616026713
Jamaica,12401,760.9724540901503
Jamaica,12408,403.7813021702837
Jamaica,12406,397.5692821368949
Jamaica,12404,119.0
Jamaica,12403,58.81081081081082
Jamaica,12402,44.1081081081081
Jamaica,12407,33.08108108108108
Jamaica,12400,0.0
Japan,12433,39746.04007477126
Japan,12450,37932.23269040669
Japan,12503,37869.14373790706
Japan,12448,34451.930720497185
Japan,12663,28390.02862483661
Japan,12647,24115.75209298621
Japan,12422,22712.02289986929
Japan,12649,18098.64324833334
Japan,12485,17646.110856840027
Japan,12445,16805.81986365717
Jordan,12741,16858.0
Jordan,12745,355.933937133724
Jordan,12740,224.40063931806068
Jordan,12739,214.04368673415024
Jordan,12742,197.81779435269047
Jordan,12738,128.77144379328718
Jordan,12743,123.24773574853491
Jordan,12744,51.78476291955248
Kazakhstan,12753,19055.709604234937
Kazakhstan,12751,15129.75
Kazakhstan,12746,11671.622132593899
Kazakhstan,12763,5978.728888328711
Kazakhstan,12764,5859.630703302244
Kazakhstan,12762,5043.25
Kazakhstan,12754,4763.927401058734
Kazakhstan,12765,4073.157927905218
Kazakhstan,12757,2896.467859843711
Kazakhstan,12770,2846.5837320574165
Kenya,12787,995.9084880636605
Kenya,12775,948.4844625573102
Kenya,12788,753.6604774535809
Kenya,12791,753.6604774535809
Kenya,12790,748.2771883289125
Kenya,12778,708.2017320427916
Kenya,12789,565.2453580901856
Kenya,12796,446.84156902699954
Kenya,12777,397.0988283239938
Kenya,12782,370.26102610261023
Kuwait,12798,7161.65548977244
Kuwait,12801,6620.67600101013
